"","ITEM_SK","TOTAL_REVENUE","BASKETS","DISTINCT_CUSTOMERS","AVERAGE_PRICE","PRODUCT_NAME","PRODUCT_CAT","pkm$cluster"
"1721",14079630,1509.58992,452,256,2.99248755,"Bread Produ","Commercial B",2
"1722",11753052,1509.51982,392,157,2.924606744,"Other Froze","Frozen Groce",2
"1723",11702661,1508.82953,190,122,7.322987566,"Beef","Meat",4
"1724",14345297,1508.63,507,184,2.939704142,"Breads","Instore Bake",2
"1725",11674540,1508.4885,161,97,8.521855569,"Floral","Garden Centr",4
"1726",14414610,1508.41,364,178,4.004171271,"Pickles-Ant","Deli",1
"1727",12192945,1508.32999,499,196,2.689618469,"Bread Produ","Commercial B",2
"1728",11679264,1506.11986,410,147,3.67162161,"Deli Meats-","Deli",2
"1729",11675073,1505.58,466,212,3.126266094,"Yogurt","Dairy",2
"1730",12936590,1505.54,498,263,2.684626263,"Cookies","Grocery",2
"1731",11744032,1505.13,755,377,2.09661406,"Salad Items","Produce",2
"1732",11820752,1503.48991,221,82,6.588189853,"Refrigerate","Produce",1
"1733",11744092,1502.39999,373,165,4.002999092,"Pastry Coun","Pastry",1
"1734",11747491,1501.91986,385,146,2.571029153,"Frozen Meal","Frozen Groce",2
"1735",11692473,1500.02994,646,220,1.315080613,"Soft Drinks","Grocery",2
"1736",11832926,1497.71997,342,154,4.111900541,"Refrigerate","Dairy",1
"1737",11744488,1497.36,428,241,3.455807963,"Salted Snac","Grocery",2
"1738",14255746,1496.97993,702,250,1.589324765,"Water","Grocery",2
"1739",11676679,1495.32997,172,109,7.987999944,"GM","General Merc",4
"1740",12807630,1494.89995,393,192,3.497090719,"Bread Produ","Commercial B",2
"1741",11697886,1494.54921,199,111,7.35954392,"Service Cas","Meat",4
"1742",11623589,1494.41,492,283,2.686138211,"Baking","Grocery",2
"1743",11599468,1493.36995,168,106,8.730376845,"Baking","Grocery",4
"1744",11872778,1490.57,324,176,4.476111111,"Bread Produ","Commercial B",1
"1745",11855615,1489.54896,149,80,9.795630805,"Organic &Na","Grocery",4
"1746",12906966,1489.02989,225,118,6.327540542,"Soft Drinks","Grocery",1
